timestamp,pair,type,bid,bid_qty,ask,ask_qty,last,volume,vwap,low,high,change,change_pct
2025-10-02 20:32:46.288,BTC/USD,snapshot,120463,3.98411,120463,1.86989,120463,2010.61,119387,117400,121009,3030.3,2.58
2025-10-02 20:32:46.288,ETH/USD,snapshot,4476.54,0.00691069,4476.55,157.314,4477.36,31236.7,4422.39,4293.04,4530.85,148.53,3.43
2025-10-02 20:32:47.210,ETH/USD,update,4476.54,0.00154766,4476.55,178.805,4476.54,31236.7,4422.39,4293.04,4530.85,147.71,3.41
2025-10-02 20:32:47.210,ETH/USD,update,4475.12,0.2,4476.55,178.805,4476.54,31236.7,4422.39,4293.04,4530.85,147.71,3.41
2025-10-02 20:32:47.501,BTC/USD,update,120460,2.05718,120463,0.66152,120460,2010.63,119387,117400,121009,3027.2,2.58
2025-10-02 20:32:47.800,BTC/USD,update,120459,2.07118,120459,0.239731,120459,2010.64,119387,117400,121009,3026.4,2.58
2025-10-02 20:32:48.719,BTC/USD,update,120456,0.347412,120456,0.719044,120456,2010.67,119387,117400,121009,3023.3,2.57
2025-10-02 20:32:48.905,ETH/USD,update,4474.22,10.7242,4475.01,2.94558,4474.22,31237.2,4422.39,4293.04,4530.85,145.39,3.36
2025-10-02 20:32:48.905,ETH/USD,update,4474.22,10.6524,4475.01,2.94558,4474.22,31237.3,4422.39,4293.04,4530.85,145.39,3.36
2025-10-02 20:32:48.907,ETH/USD,update,4474.22,9.16538,4475.01,2.94558,4474.22,31238.8,4422.39,4293.04,4530.85,145.39,3.36
2025-10-02 20:32:48.907,ETH/USD,update,4474.22,8.46199,4475.01,2.94558,4474.22,31239.5,4422.39,4293.04,4530.85,145.39,3.36
2025-10-02 20:32:55.721,ETH/USD,update,4474.38,2.02788,4474.44,0.189049,4474.38,31242.4,4422.4,4293.04,4530.85,145.55,3.36
2025-10-02 20:32:56.756,ETH/USD,update,4474.43,0.477843,4474.44,0.189049,4474.43,31242.4,4422.4,4293.04,4530.85,145.6,3.36
2025-10-02 20:32:57.083,ETH/USD,update,4474.43,0.477843,4474.44,38.4399,4474.44,31242.4,4422.4,4293.04,4530.85,145.61,3.36
2025-10-02 20:32:57.205,BTC/USD,update,120456,0.0509774,120456,1.79034,120456,2010.67,119387,117400,121009,3023.3,2.57
2025-10-02 20:32:57.363,BTC/USD,update,120456,0.00922778,120456,1.79034,120456,2010.71,119387,117400,121009,3023.3,2.57
2025-10-02 20:32:59.092,BTC/USD,update,120450,0.0123317,120450,4.22827,120450,2010.71,119387,117400,121009,3017.8,2.57
2025-10-02 20:33:02.110,ETH/USD,update,4474.38,2.02588,4474.39,60.0266,4474.38,31242.2,4422.4,4293.04,4530.85,145.56,3.36
2025-10-02 20:33:02.861,BTC/USD,update,120450,0.00433173,120450,4.56184,120450,2010.72,119387,117400,121009,3017.7,2.57
2025-10-02 20:33:03.776,BTC/USD,update,120450,0.00433173,120450,5.47853,120450,2010.74,119387,117400,121009,3017.8,2.57
2025-10-02 20:33:04.209,ETH/USD,update,4474.38,1.02588,4474.39,99.888,4474.38,31243.2,4422.4,4293.04,4530.85,145.56,3.36
2025-10-02 20:33:04.857,BTC/USD,update,120450,0.00428718,120450,5.55434,120450,2010.74,119387,117400,121009,3017.7,2.57
2025-10-02 20:33:04.857,ETH/USD,update,4474.38,1.02464,4474.39,99.888,4474.38,31243.2,4422.4,4293.04,4530.85,145.56,3.36
2025-10-02 20:33:04.908,ETH/USD,update,4474.38,1.02464,4474.39,99.886,4474.39,31243.2,4422.4,4293.04,4530.85,145.57,3.36
2025-10-02 20:33:06.035,BTC/USD,update,120450,0.00428718,120450,5.5313,120450,2010.77,119387,117400,121009,3017.8,2.57
2025-10-02 20:33:06.481,BTC/USD,update,120450,0.00428718,120450,5.53718,120450,2010.77,119387,117400,121009,3017.8,2.57
2025-10-02 20:33:06.649,ETH/USD,update,4474.38,1.01239,4474.39,99.89,4474.38,31243.1,4422.4,4293.04,4530.85,145.55,3.36
2025-10-02 20:33:12.193,BTC/USD,update,120450,0.0291787,120450,8.7905,120450,2010.76,119387,117400,121009,3017.8,2.57
2025-10-02 20:33:12.213,BTC/USD,update,120450,0.0291787,120450,8.79259,120450,2010.77,119387,117400,121009,3017.9,2.57
2025-10-02 20:33:12.408,BTC/USD,update,120450,0.0236739,120450,8.78482,120450,2010.77,119387,117400,121009,3017.8,2.57
2025-10-02 20:33:15.080,BTC/USD,update,120444,2.1141,120444,0.0474621,120444,2010.83,119387,117400,121009,3011.6,2.56
2025-10-02 20:33:16.123,ETH/USD,update,4474.38,52.4744,4474.39,1.61198,4474.38,31243.1,4422.4,4293.04,4530.85,145.56,3.36
